dt,source,domain,url,title,summary,image,brief,body,raw_page,from
2013-03-28,新华网安徽站 ,,http://www.ah.xinhuanet.com/2013-03/28/c_115187970.htm,[新安晚报]长江中路立面改造主打徽文化牌,,,"昨天上午,记者从庐阳区城管局召开的新闻发布会获悉,长江中路将与北一环同步进行立面改造,长江中路将用一些徽元素十足的街头小景进行点缀,并保留沿街建筑的历史文化...  5条相同新闻  -  百度快照",,,
2012-01-11,中国网络电视台 ,,http://news.cntv.cn/20120111/125778.shtml,弘扬徽文化推广茶品牌 北京黄山茶城在马连道隆重开业,,,"弘扬徽文化推广茶品牌 北京黄山茶城在马连道隆重开业,北京黄山茶城近日在北京马连道茶叶街开业。黄山茶城的开业得到了黄山市政府、歙县政府、北京西城区政府、北京广外...  百度快照",,,
2011-10-10,中国日报 ,,http://www.chinadaily.com.cn/hqjs/zjtw/2011-10-10/content_4020891.html,安徽举办2011海外台湾留学人员徽文化体验之旅,,,"日前,安徽省皖台交流协会举办了“徽文化――安徽历史与发展”体验之旅,邀请台湾海外留学人员与安徽的大学生携手相伴走进古徽州,体验徽文化的博大精深,品尝美味徽菜,...  3条相同新闻  -  百度快照",,,
2012-01-10,凤凰网 ,,http://news.ifeng.com/gundong/detail_2012_01/10/11874888_0.shtml,南京溧水周园徽文化精品体验中心隆重开业,,,"1月9日上午,南京周园举行了盛大的周园徽文化精品体验中心开业仪式。江苏省人民政府副秘书长张吉生、南京市人民政府副市长陈刚、江苏省旅游局副局长袁丁、南京市人民...  2条相同新闻  -  百度快照",,,
2011-08-29,合肥热线 ,,http://news.hefei.cc/2011/0829/020097394.shtml,世博安徽馆LOGO最终揭晓 展示徽文化特色,,,"安徽馆LOGO有奖征集活动评选结果近日揭晓,1号候选作品最终入选,作品巧妙运用徽派建筑构图,简洁明快,充分展示徽文化特色。合肥热线讯 世博会安徽馆已经落户合肥经开区...  百度快照",,,
2011-06-08,联合越野 ,,http://www.chnsuv.com/news/0508/58429.html,MINI在路上徽文化古镇寻宝二日自驾游,,,"MINI的车主总是那么有激情,就连徽文化的自驾游都玩得如此有特色! 5月29日-30日,浙江金湖带领10余辆MINI,20余名车主一起游走在中国画中,手持MINI寻宝图,穿梭在...  百度快照",,,
2011-04-29,新华网安徽站 ,,http://www.ah.xinhuanet.com/yishu2005/2011-04/29/content_22654753.htm,徽文化民俗博物馆举办首届神兽特展,,,"五一即将到来,位于蜀山区科学院路农业示范园的安徽省源泉徽文化民俗博物馆经过精心准备,从馆藏文物中挑选出500多只神兽石雕,目前已布展完毕,将于5月1日至6月5日...  百度快照",,,
2010-06-24,网易新闻 ,,http://news.163.com/10/0624/10/69UGVN2A000146BC.html,徽文化让生活更多彩 世博会安徽活动周开幕,,,"据悉,安徽活动周围绕“徽文化让生活更多彩——无徽不成镇”的主题,通过重大活动、文艺演出、展览展示、合作交流等,展示安徽丰厚的文化底蕴,改革开放的巨大成就,快速...  百度快照",,,
2010-06-23,网易新闻 ,,http://news.163.com/10/0623/13/69S7S54600014AEE.html,"(新民晚报)世博会安徽活动周上午开幕,徽文化让生活彩",,,"徽文化让生活更多彩 新民晚报·推荐中国2010年上海世博会安徽活动周上午开幕,中共中央政治局委员、上海市委书记俞正声出席,中共安徽省委书记张宝顺为活动周揭幕。 上海市...  百度快照",,,
2014-09-30,中国视窗 ,,http://zgsc.china.com.cn/ys/yszx/2014-09-30/234545.html,“笔墨皖韵——张东林山水画精品展”在中国徽文化艺术馆开展,,,"“笔墨皖韵——张东林山水画精品展”开幕式现场 2014年9月28日,由安徽省美术家协会、安徽省书画院主办,中国徽文化艺术馆协办的“笔墨皖韵——张东林山水画精品...  2条相同新闻  -  百度快照",,,
2010-05-16,中国网络电视台 ,,http://news.cntv.cn/china/20100516/100932.shtml,[视频][第四届全国体育大会]开幕预演 展现独特徽文化,,,[视频][第四届全国体育大会]开幕预演 展现独特徽文化发布时间:2010年05月16日 17:18 | 进入复兴论坛 | 来源:中国网络电视台军事推荐 更多 ...  百度快照,,,
2010-04-28,网易新闻 ,,http://news.163.com/10/0428/04/65B52N9J00014AED.html,安徽馆:“无徽不成镇” 演绎徽文化多彩生活(图),,,"如梦如幻的上海世博会安徽馆以“徽文化,让生活更多彩”为主题,以“无徽不成镇”这个琅琅上口、耳熟能详的俗语作为副标题。 “之所以确定这个主题,是由徽文化的...  百度快照",,,
2010-10-06,黄山新闻网 ,,http://www.newshs.com/html/201010/6/20101006151535.htm,安徽黄山:国庆黄金周体验徽文化【图组】,,,"10月6日,美国游客自驾车到黄山歙县牌坊群体验徽州古老文化,了解徽州民俗。 吴建平摄 黄山新闻网10月6日讯( 吴建平 )国庆黄金周期间,黄山歙县各古牌坊、古村落景点...  百度快照",,,
2010-08-06,新华网安徽站 ,,http://www.ah.xinhuanet.com/hfnews/2010-08/06/content_20548869_1.htm,德国孔子“门徒”合肥体验徽文化,,,"德国孔子“门徒”合肥体验徽文化8月5日,在合肥参加夏令营的德国中学生用毛笔书写自己的中文名。  当日,“汉语桥-德国中学生夏令营”在合肥开营,来自德国7所孔子学院...  3条相同新闻  -  百度快照",,,
2010-08-18,黄山新闻网 ,,http://www.newshs.com/html/201008/18/20100818173328.htm,祁门:徽文化在“百村千幢”建设中复活,,,"目前,文堂村成为研究古代徽州文化的热点之一。对此,该村党支部书记王秋高深有感触地说:“一招棋出满盘活。我们文堂村通过“百村千幢”工程,不但保存了古建筑...  百度快照",,,
2010-08-04,侨办 ,,http://www.gqb.gov.cn/news/2010/0804/20142.shtml,华裔青少年访安徽侨乡歙县 亲身体验中国徽文化,,,"作为徽府菜发源地、非物质文化遗产传承地,歙县披云山庄又一次站在了文化、体验相结合的新高度。8月2日,在歙县人民政府、歙县外事办、歙县旅游委员会的支持下,披云...  2条相同新闻  -  百度快照",,,
